Number of Steps,Distance Traveled,X Position,Y Position
1,0.055273275375366214,0.7,0.0
2,0.11030846118927003,0.6994743518178462,-8.371761721205623e-07
3,0.16558530807495117,0.6979977048418196,-3.188965267819865e-06
4,0.22098900318145753,0.69557005907192,-7.055367287097909e-06
5,0.2760056495666504,0.6921914158681164,-1.3231532978937839e-05
6,0.3308290719985962,0.6878617803741383,-2.398529377317712e-05
7,0.3860088872909546,0.6825811685836636,-4.3768691883469284e-05
8,0.44153421878814697,0.6763630127383122,-0.0004536287386305989
9,0.4975461959838867,0.6691906391366791,-0.0008376878539342325
10,0.5530617952346802,0.6610962618608798,-0.0016359986411152837
11,0.6091639614105224,0.6520509709877098,-0.002480722102438695
12,0.6654904699325561,0.6420874965586235,-0.0036821483872187663
13,0.7225237846374511,0.6311958149340239,-0.005123579729888598
14,0.7799577808380127,0.6193918231800889,-0.0069049383997703846
15,0.838221697807312,0.6066829586684218,-0.009050173112399957
16,0.8969616603851318,0.5930816446849263,-0.011607542499290836
17,0.9550232267379761,0.5785819329348626,-0.014526729463868147
18,1.012614622116089,0.5631963069834693,-0.01785569665556018
19,1.069883279800415,0.5469210972058152,-0.021565423368318414
20,1.1261409997940064,0.5297733038022797,-0.02571891901537587
21,1.182667636871338,0.511750510729223,-0.030294932089733356
22,1.238978219032288,0.4928735493597735,-0.03536373060394562
23,1.2962732696533206,0.47314107116874543,-0.04090827012246518
24,1.3541099119186404,0.45257753591132327,-0.04700274785718813
25,1.4127348041534427,0.4311826125667592,-0.053632734684698605
26,1.474885587692261,0.4089843907862541,-0.060874630233979606
27,1.5383076095581059,0.3860152483197253,-0.06880810543882818
28,1.6056885099411013,0.36227790724223485,-0.07742114254283419
29,1.6740102100372318,0.33777321773006963,-0.08670009715027426
30,1.7379659318923952,0.312501122216256,-0.09663195670152094
31,1.802684226036072,0.28646080508600685,-0.10720423983580746
32,1.8660374832153324,0.25965054125930087,-0.11840426142365904
33,1.9301990795135502,0.23206744845756025,-0.13021831943210552
34,1.9941517925262455,0.2037072273197385,-0.14263096940141823
35,2.0570653009414674,0.1745639245735006,-0.1556244206903717
36,2.120581617355347,0.14462973412445543,-0.16917804620637417
37,2.1842098188400274,0.1138948423780682,-0.18326798605422492
38,2.248489894866944,0.08234732052108037,-0.19786682489063673
39,2.3142100811004647,0.04997306500311627,-0.2129433253949539
40,2.3805208110809333,0.016755786854346894,-0.22846220355340494
41,2.4470501184463505,-0.017322949774105992,-0.24438393454687918
42,2.51379210472107,-0.05228363957937224,-0.26066458070943743
