Number of Steps,Distance Traveled,X Position,Y Position
1,0.0632123327255249,0.7,0.0
2,0.1263344669342041,0.6993988514782012,-9.574221607563937e-07
3,0.1895235347747803,0.6978467041625297,-3.4294572450915284e-06
4,0.2526650381088257,0.6953435580529853,-7.4161052530054036e-06
5,0.3157681512832642,0.6918894145862352,-1.3755567618361313e-05
6,0.37884886741638185,0.6874842791312149,-2.4793646455340154e-05
7,0.44201705932617186,0.6821281683231037,-4.509552033229208e-05
8,0.505319881439209,0.6758247416991675,-0.0002617632154003555
9,0.5686091995239257,0.6685704358306396,-0.0004979356055321505
10,0.6300274085998535,0.6603705123879425,-0.0008870210775222388
11,0.6919495248794556,0.6512179346517881,-0.0012593860770069927
12,0.7532032680511475,0.6411180901777883,-0.0017373834083725074
13,0.8149860239028931,0.6300685130693093,-0.0022646333587191475
14,0.8765189409255981,0.6180696974113494,-0.0028513006675462494
15,0.938326554298401,0.6051230495924993,-0.0035247076159798637
16,1.0010881853103637,0.5912270182531688,-0.0042538801733800116
17,1.0634570360183715,0.5763841005227787,-0.005084655588024372
18,1.125978193283081,0.5605923075972795,-0.005979914029730684
19,1.1883936929702759,0.5438545839810319,-0.00698958653306388
20,1.2508373212814332,0.5261687146387186,-0.00807507120042993
21,1.3133484506607056,0.5075380306470609,-0.009288367659684688
22,1.3758896780014038,0.4879601252524984,-0.010590335245761334
23,1.4391148233413698,0.46743871397154796,-0.012034289957760009
24,1.5020255851745605,0.4459712073705244,-0.013580936473877803
25,1.5646658945083618,0.4235617176008826,-0.015284507521328886
26,1.627607922554016,0.4002074720108579,-0.01710572467169535
27,1.6908198070526124,0.375912996030741,-0.019099487641080586
28,1.7554358768463134,0.3506753286966634,-0.021226607383733602
29,1.8194604063034059,0.32449942590290093,-0.023542474982547336
30,1.8843149185180665,0.29738213073751124,-0.026008012176640317
31,1.9496356010437013,0.269328845451692,-0.028678966753818133
32,2.01623664855957,0.2403458155832686,-0.031612878522357266
33,2.082806348800659,0.2104300299925791,-0.03477222624775517
34,2.1493031644821166,0.17958840769681922,-0.03821470916889727
35,2.216038718223572,0.14781768871909098,-0.04190350586612423
36,2.2827846288681033,0.11512556550794914,-0.04589714309568829
37,2.3507905864715575,0.0815085570838828,-0.050159520123671336
38,2.4186578035354613,0.046962560697772854,-0.05465408394476562
39,2.486502194404602,0.011495628355911829,-0.059438259887124915
40,2.554692177772522,-0.024883461824195548,-0.06456923326415563
41,2.6232099771499633,-0.06217881168283708,-0.07001021038120879
42,2.6916955137252807,-0.10038072942600013,-0.0758198488165986
43,2.760177230834961,-0.139493478249353,-0.08196241867173652
44,2.8293700885772703,-0.17950653028062197,-0.08849714292188578
45,2.89809289932251,-0.22042438747302276,-0.09538868756756633
46,2.966649079322815,-0.26223574102180786,-0.10269631455436534
47,3.0351864099502563,-0.3049453923106738,-0.11038471227312045
48,3.1037276935577394,-0.34854129192876515,-0.11851288464618036
49,3.1729810667037963,-0.3930285875626613,-0.1270453435976072
50,3.2415941953659058,-0.4383945202671631,-0.13604067346174548
